MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
11001 Porto Velho;689580,00;49453,00;1025,00;21585,73;789,56;1,92;40737,00;59,08;49577,00;0,07;116866,00;0,17;124,00;0,54;1407,00;2,04;1219,00;1,77;349,00;0,51;734,00;1,06;2050,00;2,97;456,00;0,66;83,00;0,12;32,00;0,05;427,00;0,62;71,71;1,49
11002 Guajará-Mirim;86035,00;4395,00;108,00;14553,78;447,92;1,82;2983,00;34,67;5390,00;0,06;10655,00;0,12;26,00;0,91;76,00;0,88;90,00;1,05;11,00;0,13;189,00;2,20;187,00;2,17;6,00;0,07;0,00;0,00;0,00;0,00;6,00;0,07;51,08;1,26
11003 Ariquemes;209694,00;11235,00;163,00;14852,49;558,54;1,91;1096,00;5,23;14579,00;0,07;31340,00;0,15;46,00;0,66;206,00;0,98;185,00;0,88;47,00;0,22;322,00;1,54;391,00;1,86;84,00;0,40;27,00;0,13;4,00;0,02;83,00;0,40;53,58;0,78
11004 Ji-Paraná;293651,00;11427,00;226,00;15977,72;582,65;1,13;4860,00;16,55;30091,00;0,10;57906,00;0,20;89,00;0,91;349,00;1,19;270,00;0,92;72,00;0,25;591,00;2,01;715,00;2,43;91,00;0,31;0,00;0,00;0,00;0,00;62,00;0,21;38,91;0,77
11005 Alvorada D'Oeste;69523,00;1891,00;32,00;12972,47;456,88;1,18;4964,00;71,40;4672,00;0,07;7635,00;0,11;18,00;0,78;25,00;0,36;52,00;0,75;13,00;0,19;169,00;2,43;159,00;2,29;60,00;0,86;4,00;0,06;0,00;0,00;8,00;0,12;27,20;0,46
11006 Cacoal;237069,00;9040,00;130,00;15085,52;588,55;1,41;31050,00;130,97;32472,00;0,14;43428,00;0,18;68,00;0,86;449,00;1,89;377,00;1,59;121,00;0,51;461,00;1,94;645,00;2,72;83,00;0,35;38,00;0,16;13,00;0,05;75,00;0,32;38,13;0,55
11007 Vilhena;164604,00;7084,00;106,00;21111,88;690,68;0,88;3471,00;21,09;32058,00;0,19;31964,00;0,19;44,00;0,80;220,00;1,34;203,00;1,23;74,00;0,45;301,00;1,83;315,00;1,91;2,00;0,01;24,00;0,15;7,00;0,04;31,00;0,19;43,04;0,64
11008 Colorado Oeste;46304,00;1204,00;27,00;16780,58;496,96;0,66;125,00;2,70;6579,00;0,14;9241,00;0,20;19,00;1,23;38,00;0,82;58,00;1,25;15,00;0,32;140,00;3,02;124,00;2,68;47,00;1,02;3,00;0,06;0,00;0,00;3,00;0,06;26,00;0,58
12001 Cruzeiro do Sul;159274,00;6715,00;102,00;10843,51;344,96;8,33;3206,00;20,13;14142,00;0,09;6778,00;0,04;71,00;1,34;134,00;0,84;211,00;1,32;34,00;0,21;349,00;2,19;308,00;1,93;218,00;1,37;10,00;0,06;1,00;0,01;56,00;0,35;42,16;0,64
12002 Tarauacá;86508,00;4747,00;41,00;8572,33;239,55;16,88;1127,00;13,03;4582,00;0,05;3172,00;0,04;21,00;0,73;39,00;0,45;55,00;0,64;4,00;0,05;148,00;1,71;93,00;1,08;13,00;0,15;3,00;0,03;0,00;0,00;2,00;0,02;54,87;0,47
12003 Sena Madureira;62809,00;3467,00;21,00;10206,78;303,64;13,07;1826,00;29,07;5066,00;0,08;2820,00;0,04;22,00;1,05;28,00;0,45;62,00;0,99;8,00;0,13;133,00;2,12;104,00;1,66;2,00;0,03;3,00;0,05;0,00;0,00;2,00;0,03;55,20;0,33
12004 Rio Branco;513351,00;22225,00;571,00;17851,07;633,27;2,68;147036,00;286,42;57297,00;0,11;90870,00;0,18;115,00;0,67;761,00;1,48;752,00;1,46;161,00;0,31;844,00;1,64;1025,00;2,00;1,00;0,00;40,00;0,08;12,00;0,02;162,00;0,32;43,29;1,11
12005 Brasiléia;72528,00;4466,00;60,00;12741,42;369,14;7,79;6465,00;89,14;9034,00;0,12;8296,00;0,11;25,00;1,03;51,00;0,70;95,00;1,31;11,00;0,15;182,00;2,51;83,00;1,14;51,00;0,70;3,00;0,04;0,00;0,00;3,00;0,04;61,58;0,83
13001 Rio Negro AM;119734,00;11579,00;121,00;5158,19;253,21;17,56;1955,00;16,33;7405,00;0,06;6932,00;0,06;28,00;0,70;75,00;0,63;171,00;1,43;15,00;0,13;259,00;2,16;161,00;1,34;8,00;0,07;7,00;0,06;1,00;0,01;11,00;0,09;96,71;1,01
13002 Japurá;20512,00;1767,00;9,00;6071,49;162,15;15,33;1607,00;78,34;1958,00;0,10;985,00;0,05;13,00;1,90;11,00;0,54;29,00;1,41;3,00;0,15;88,00;4,29;39,00;1,90;14,00;0,68;2,00;0,10;0,00;0,00;#NULO!;0,00;86,14;0,44
13003 Alto Solimões;254355,00;12579,00;270,00;5995,60;208,09;14,56;5768,00;22,68;18050,00;0,07;8478,00;0,03;93,00;1,10;145,00;0,57;324,00;1,27;28,00;0,11;912,00;3,59;330,00;1,30;12,00;0,05;17,00;0,07;0,00;0,00;39,00;0,15;49,45;1,06
13004 Juruá;154894,00;12397,00;80,00;7362,30;204,22;17,56;5994,00;38,70;10757,00;0,07;7217,00;0,05;52,00;1,01;66,00;0,43;120,00;0,77;18,00;0,12;436,00;2,81;226,00;1,46;1153,00;7,44;10,00;0,06;0,00;0,00;10,00;0,06;80,04;0,52
13005 Tefé;89457,00;7562,00;145,00;8124,47;328,74;8,42;10333,00;115,51;11536,00;0,13;9030,00;0,10;29,00;0,97;42,00;0,47;85,00;0,95;20,00;0,22;302,00;3,38;141,00;1,58;4,00;0,04;5,00;0,06;0,00;0,00;12,00;0,13;84,53;1,62
13006 Coari;183887,00;12804,00;189,00;33086,87;267,14;10,41;31489,00;171,24;11671,00;0,06;13937,00;0,08;66,00;1,08;85,00;0,46;162,00;0,88;24,00;0,13;492,00;2,68;233,00;1,27;4,00;0,02;7,00;0,04;0,00;0,00;13,00;0,07;69,63;1,03
13007 Manaus;2509626,00;95208,00;3704,00;29680,93;684,66;3,10;731105,00;291,32;370481,00;0,15;458451,00;0,18;398,00;0,48;3882,00;1,55;3457,00;1,38;595,00;0,24;2248,00;0,90;3732,00;1,49;45,00;0,02;169,00;0,07;46,00;0,02;1163,00;0,46;37,94;1,48
13008 R.Preto da Eva;71299,00;6030,00;65,00;17406,06;347,13;5,22;7660,00;107,43;7029,00;0,10;5752,00;0,08;27,00;1,14;36,00;0,50;74,00;1,04;12,00;0,17;172,00;2,41;58,00;0,81;1,00;0,01;4,00;0,06;0,00;0,00;15,00;0,21;84,57;0,91
13009 Itacoatiara;182772,00;8457,00;161,00;11248,53;309,68;6,35;5317,00;29,09;21429,00;0,12;15367,00;0,08;62,00;1,02;107,00;0,59;181,00;0,99;30,00;0,16;512,00;2,80;210,00;1,15;8,00;0,04;9,00;0,05;1,00;0,01;11,00;0,06;46,27;0,88
13010 Parintins;284437,00;14325,00;285,00;8103,15;249,02;5,34;3187,00;11,20;30121,00;0,11;23334,00;0,08;84,00;0,89;121,00;0,43;298,00;1,05;40,00;0,14;774,00;2,72;386,00;1,36;50,00;0,18;13,00;0,05;1,00;0,00;36,00;0,13;50,36;1,00
13011 Boca do Acre;54157,00;3623,00;28,00;6743,57;258,16;15,43;2260,00;41,73;5311,00;0,10;2364,00;0,04;13,00;0,72;31,00;0,57;45,00;0,83;16,00;0,30;166,00;3,07;86,00;1,59;223,00;4,12;4,00;0,07;0,00;0,00;4,00;0,07;66,90;0,52
13012 Purus;79704,00;5941,00;61,00;8250,61;209,93;15,16;9333,00;117,10;5111,00;0,06;5009,00;0,06;26,00;0,98;40,00;0,50;110,00;1,38;6,00;0,08;266,00;3,34;109,00;1,37;3,00;0,04;3,00;0,04;0,00;0,00;8,00;0,10;74,54;0,77
13013 Madeira;202880,00;8741,00;167,00;7217,10;296,25;9,31;4848,00;23,90;15401,00;0,08;13597,00;0,07;59,00;0,87;96,00;0,47;180,00;0,89;29,00;0,14;567,00;2,79;186,00;0,92;1,00;0,00;14,00;0,07;1,00;0,00;19,00;0,09;43,08;0,82
14001 Boa Vista;467130,00;54816,00;639,00;20537,31;692,04;4,92;49336,00;105,62;77463,00;0,17;74674,00;0,16;80,00;0,51;892,00;1,91;834,00;1,79;200,00;0,43;450,00;0,96;1211,00;2,59;4,00;0,01;30,00;0,06;6,00;0,01;186,00;0,40;117,35;1,37
14002 Nordeste RR;53677,00;4185,00;56,00;12292,90;244,92;5,94;190,00;3,54;4375,00;0,08;1910,00;0,04;21,00;1,17;13,00;0,24;66,00;1,23;7,00;0,13;136,00;2,53;38,00;0,71;11,00;0,20;2,00;0,04;0,00;0,00;#NULO!;0,00;77,97;1,04
14003 Caracaraí;52751,00;3537,00;42,00;13025,25;341,15;7,34;10275,00;194,78;6756,00;0,13;5245,00;0,10;21,00;1,19;24,00;0,45;59,00;1,12;11,00;0,21;118,00;2,24;47,00;0,89;136,00;2,58;2,00;0,04;0,00;0,00;#NULO!;0,00;67,05;0,80
14004 Sudeste RR;57623,00;4358,00;44,00;14934,41;306,05;2,81;1626,00;28,22;5507,00;0,10;4866,00;0,08;23,00;1,20;32,00;0,56;76,00;1,32;13,00;0,23;132,00;2,29;74,00;1,28;1,00;0,02;3,00;0,05;0,00;0,00;8,00;0,14;75,63;0,76
15001 Óbidos;211269,00;12300,00;193,00;17004,17;278,67;4,86;4607,00;21,81;22734,00;0,11;16712,00;0,08;56,00;0,80;120,00;0,57;187,00;0,89;35,00;0,17;454,00;2,15;271,00;1,28;4,00;0,02;15,00;0,07;1,00;0,00;17,00;0,08;58,22;0,91
15002 Santarém;531849,00;18999,00;351,00;10775,29;325,11;3,97;5909,00;11,11;59012,00;0,11;64021,00;0,12;156,00;0,88;333,00;0,63;569,00;1,07;97,00;0,18;1203,00;2,26;804,00;1,51;40,00;0,08;31,00;0,06;8,00;0,02;111,00;0,21;35,72;0,66
15003 Almeirim;75877,00;1392,00;44,00;9452,67;322,77;13,09;5376,00;70,85;8540,00;0,11;5529,00;0,07;19,00;0,75;28,00;0,37;47,00;0,62;9,00;0,12;166,00;2,19;155,00;2,04;10,00;0,13;5,00;0,07;0,00;0,00;4,00;0,05;18,35;0,58
15004 Portel;155915,00;4366,00;81,00;6141,08;174,01;20,65;479,00;3,07;5850,00;0,04;5709,00;0,04;34,00;0,65;33,00;0,21;69,00;0,44;6,00;0,04;307,00;1,97;82,00;0,53;1248,00;8,00;7,00;0,04;0,00;0,00;3,00;0,02;28,00;0,52
15005 Furos de Breves;234720,00;7839,00;149,00;5749,43;193,38;15,41;832,00;3,54;10816,00;0,05;11387,00;0,05;53,00;0,68;88,00;0,37;142,00;0,60;12,00;0,05;579,00;2,47;290,00;1,24;97,00;0,41;12,00;0,05;1,00;0,00;27,00;0,12;33,40;0,63
15006 Arari;180421,00;3288,00;87,00;5486,74;236,65;8,39;2936,00;16,27;17489,00;0,10;11965,00;0,07;48,00;0,80;42,00;0,23;75,00;0,42;9,00;0,05;393,00;2,18;190,00;1,05;29,00;0,16;6,00;0,03;0,00;0,00;2,00;0,01;18,22;0,48
15007 Belém;2381117,00;75929,00;3089,00;16372,62;697,45;2,34;579375,00;243,32;355305,00;0,15;494502,00;0,21;349,00;0,44;4585,00;1,93;2714,00;1,14;833,00;0,35;2105,00;0,88;5410,00;2,27;113,00;0,05;240,00;0,10;72,00;0,03;1057,00;0,44;31,89;1,30
15008 Castanhal;348294,00;5358,00;286,00;12763,47;391,56;3,92;6607,00;18,97;39386,00;0,11;46828,00;0,13;93,00;0,80;195,00;0,56;316,00;0,91;63,00;0,18;685,00;1,97;738,00;2,12;54,00;0,16;22,00;0,06;9,00;0,03;31,00;0,09;15,38;0,82
15009 Salgado;273785,00;5840,00;245,00;5927,23;268,54;4,63;1724,00;6,30;40408,00;0,15;26495,00;0,10;97,00;1,06;91,00;0,33;176,00;0,64;19,00;0,07;711,00;2,60;233,00;0,85;21,00;0,08;13,00;0,05;1,00;0,00;13,00;0,05;21,33;0,89
15010 Bragantina;427450,00;10570,00;294,00;8485,83;275,61;7,26;2546,00;5,96;43341,00;0,10;45506,00;0,11;172,00;1,21;218,00;0,51;353,00;0,83;58,00;0,14;1085,00;2,54;751,00;1,76;10,00;0,02;31,00;0,07;8,00;0,02;100,00;0,23;24,73;0,69
15011 Cametá;503601,00;15939,00;362,00;7021,32;233,88;7,50;5670,00;11,26;33640,00;0,07;37327,00;0,07;114,00;0,68;223,00;0,44;333,00;0,66;40,00;0,08;988,00;1,96;691,00;1,37;91,00;0,18;22,00;0,04;3,00;0,01;31,00;0,06;31,65;0,72
15012 Tomé-Açu;345631,00;7225,00;155,00;9303,25;272,72;10,30;1982,00;5,73;22890,00;0,07;29300,00;0,08;52,00;0,45;64,00;0,19;130,00;0,38;22,00;0,06;548,00;1,59;325,00;0,94;56,00;0,16;0,00;0,00;0,00;0,00;22,00;0,06;20,90;0,45
15013 Guamá;488143,00;11536,00;229,00;7803,37;217,23;10,30;2399,00;4,91;40260,00;0,08;33254,00;0,07;150,00;0,92;139,00;0,28;271,00;0,56;34,00;0,07;1282,00;2,63;611,00;1,25;59,00;0,12;25,00;0,05;1,00;0,00;17,00;0,03;23,63;0,47
15014 Itaituba;221823,00;12199,00;152,00;9701,90;375,37;4,35;1903,00;8,58;10273,00;0,05;26821,00;0,12;67,00;0,91;98,00;0,44;221,00;1,00;25,00;0,11;565,00;2,55;581,00;2,62;51,00;0,23;21,00;0,09;3,00;0,01;39,00;0,18;54,99;0,69
15015 Altamira;312142,00;13545,00;255,00;16938,02;364,37;5,45;1696,00;5,43;11992,00;0,04;31949,00;0,10;73,00;0,70;215,00;0,69;306,00;0,98;45,00;0,14;604,00;1,94;618,00;1,98;4,00;0,01;27,00;0,09;2,00;0,01;60,00;0,19;43,39;0,82
15016 Tucuruí;389741,00;5371,00;256,00;16103,47;349,82;6,43;19020,00;48,80;27683,00;0,07;46941,00;0,12;88,00;0,68;168,00;0,43;320,00;0,82;50,00;0,13;735,00;1,89;625,00;1,60;61,00;0,16;28,00;0,07;5,00;0,01;42,00;0,11;13,78;0,66
15017 Paragominas;354221,00;8229,00;188,00;14092,80;413,30;5,02;4645,00;13,11;40779,00;0,12;45932,00;0,13;88,00;0,75;147,00;0,41;238,00;0,67;32,00;0,09;642,00;1,81;585,00;1,65;114,00;0,32;21,00;0,06;4,00;0,01;53,00;0,15;23,23;0,53
15018 S.Félix Xingu;222632,00;10060,00;71,00;11609,72;413,90;6,04;820,00;3,68;11768,00;0,05;18104,00;0,08;58,00;0,78;71,00;0,32;123,00;0,55;18,00;0,08;519,00;2,33;332,00;1,49;78,00;0,35;20,00;0,09;3,00;0,01;9,00;0,04;45,19;0,32
15019 Parauapebas;331080,00;37139,00;278,00;86998,40;494,06;3,69;29470,00;89,01;38291,00;0,12;50661,00;0,15;71,00;0,64;402,00;1,21;389,00;1,17;90,00;0,27;553,00;1,67;682,00;2,06;36,00;0,11;42,00;0,13;9,00;0,03;68,00;0,21;112,18;0,84
15020 Marabá;338296,00;12122,00;259,00;18304,85;470,41;4,65;13761,00;40,68;31240,00;0,09;40972,00;0,12;59,00;0,52;286,00;0,85;255,00;0,75;82,00;0,24;510,00;1,51;516,00;1,53;5,00;0,01;23,00;0,07;7,00;0,02;117,00;0,35;35,83;0,77
15021 Redenção;197953,00;9913,00;129,00;14225,59;450,34;4,08;4481,00;22,64;12297,00;0,06;31330,00;0,16;54,00;0,82;130,00;0,66;203,00;1,03;32,00;0,16;526,00;2,66;552,00;2,79;230,00;1,16;21,00;0,11;4,00;0,02;71,00;0,36;50,08;0,65
15022 Conc.Araguaia;164785,00;4643,00;46,00;10501,95;322,77;4,38;339,00;2,06;7374,00;0,04;15429,00;0,09;40,00;0,73;81,00;0,49;111,00;0,67;18,00;0,11;346,00;2,10;225,00;1,37;6,00;0,04;12,00;0,07;3,00;0,02;10,00;0,06;28,18;0,28
16001 Oiapoque;39212,00;4790,00;34,00;13112,05;509,25;4,42;764,00;19,48;1571,00;0,04;3768,00;0,10;10,00;0,77;23,00;0,59;43,00;1,10;6,00;0,15;51,00;1,30;61,00;1,56;41,00;1,05;2,00;0,05;0,00;0,00;9,00;0,23;122,16;0,87
16002 Amapá;32202,00;2939,00;16,00;14327,33;276,09;6,38;451,00;14,01;1309,00;0,04;1926,00;0,06;9,00;0,84;13,00;0,40;46,00;1,43;8,00;0,25;62,00;1,93;55,00;1,71;238,00;7,39;1,00;0,03;0,00;0,00;#NULO!;0,00;91,27;0,50
16003 Macapá;700690,00;50188,00;804,00;18432,80;617,14;3,16;37916,00;54,11;71066,00;0,10;111926,00;0,16;140,00;0,60;797,00;1,14;1016,00;1,45;316,00;0,45;1005,00;1,43;1018,00;1,45;6,00;0,01;46,00;0,07;11,00;0,02;171,00;0,24;71,63;1,15
16004 Mazagão;89669,00;10284,00;71,00;11876,34;380,23;6,16;960,00;10,71;11295,00;0,13;8546,00;0,10;34,00;1,14;52,00;0,58;89,00;0,99;22,00;0,25;160,00;1,78;92,00;1,03;8,00;0,09;4,00;0,04;0,00;0,00;6,00;0,07;114,69;0,79
17001 Bico Papagaio;217560,00;9937,00;154,00;8422,29;304,63;4,26;14295,00;65,71;40831,00;0,19;26578,00;0,12;91,00;1,25;194,00;0,89;250,00;1,15;39,00;0,18;573,00;2,63;159,00;0,73;52,00;0,24;12,00;0,06;1,00;0,00;9,00;0,04;45,67;0,71
17002 Araguaína;323491,00;27646,00;372,00;15651,49;569,51;2,78;20215,00;62,49;66329,00;0,21;62478,00;0,19;98,00;0,91;629,00;1,94;743,00;2,30;112,00;0,35;660,00;2,04;716,00;2,21;288,00;0,89;46,00;0,14;10,00;0,03;106,00;0,33;85,46;1,15
17003 Miracema TO;149583,00;6392,00;112,00;13794,53;441,14;2,12;2988,00;19,98;29833,00;0,20;28009,00;0,19;60,00;1,20;138,00;0,92;243,00;1,62;61,00;0,41;430,00;2,87;208,00;1,39;1,00;0,01;19,00;0,13;0,00;0,00;9,00;0,06;42,73;0,75
17004 Rio Formoso;128892,00;6785,00;110,00;16564,41;596,33;2,68;3510,00;27,23;24419,00;0,19;25163,00;0,20;47,00;1,09;138,00;1,07;167,00;1,30;49,00;0,38;308,00;2,39;254,00;1,97;7,00;0,05;16,00;0,12;1,00;0,01;7,00;0,05;52,64;0,85
17005 Gurupi TO;151930,00;7381,00;107,00;21544,79;624,12;1,68;14379,00;94,64;31258,00;0,21;33770,00;0,22;57,00;1,13;252,00;1,66;327,00;2,15;94,00;0,62;371,00;2,44;273,00;1,80;1,00;0,01;24,00;0,16;7,00;0,05;39,00;0,26;48,58;0,70
17006 Porto Nacional;413057,00;26884,00;305,00;21214,93;899,78;1,90;112007,00;271,17;85559,00;0,21;83125,00;0,20;121,00;0,88;1043,00;2,53;1332,00;3,22;343,00;0,83;717,00;1,74;1181,00;2,86;805,00;1,95;68,00;0,16;17,00;0,04;237,00;0,57;65,09;0,74
17007 Jalapão;80915,00;3077,00;42,00;12471,13;271,54;6,40;2413,00;29,82;11675,00;0,14;8959,00;0,11;33,00;1,22;28,00;0,35;76,00;0,94;18,00;0,22;237,00;2,93;49,00;0,61;1,00;0,01;5,00;0,06;0,00;0,00;1,00;0,01;38,03;0,52
17008 Dianópolis;124820,00;2434,00;34,00;13200,57;383,04;2,97;1774,00;14,21;23373,00;0,19;19616,00;0,16;47,00;1,13;66,00;0,53;166,00;1,33;33,00;0,26;365,00;2,92;158,00;1,27;23,00;0,18;16,00;0,13;0,00;0,00;2,00;0,02;19,50;0,27
21001 Litoral Ocid.MA;191685,00;2850,00;51,00;4268,69;210,66;4,95;764,00;3,99;28929,00;0,15;6498,00;0,03;84,00;1,31;93,00;0,49;141,00;0,74;15,00;0,08;587,00;3,06;338,00;1,76;80,00;0,42;8,00;0,04;1,00;0,01;2,00;0,01;14,87;0,27
21002 São Luís;1442927,00;29156,00;1519,00;18485,17;688,24;1,99;498655,00;345,59;261655,00;0,18;287829,00;0,20;214,00;0,44;2627,00;1,82;3073,00;2,13;764,00;0,53;1220,00;0,85;4469,00;3,10;11,00;0,01;187,00;0,13;52,00;0,04;773,00;0,54;20,21;1,05
21003 Rosário;179884,00;1605,00;48,00;5781,41;208,62;7,35;1253,00;6,97;19319,00;0,11;9574,00;0,05;80,00;1,33;70,00;0,39;161,00;0,90;25,00;0,14;538,00;2,99;280,00;1,56;6,00;0,03;12,00;0,07;0,00;0,00;8,00;0,04;8,92;0,27
21004 Lençóis MA;199178,00;3889,00;63,00;4555,03;181,51;8,55;265,00;1,33;11641,00;0,06;7658,00;0,04;70,00;1,05;79,00;0,40;130,00;0,65;20,00;0,10;581,00;2,92;193,00;0,97;105,00;0,53;9,00;0,05;1,00;0,01;5,00;0,03;19,53;0,32
21005 Baixada MA;608061,00;9758,00;194,00;5258,32;216,94;7,87;5587,00;9,19;62732,00;0,10;35436,00;0,06;238,00;1,17;261,00;0,43;493,00;0,81;92,00;0,15;1749,00;2,88;1048,00;1,72;288,00;0,47;34,00;0,06;4,00;0,01;50,00;0,08;16,05;0,32
21006 Itapecuru Mirim;238418,00;3430,00;51,00;5299,50;183,74;10,81;4364,00;18,30;26054,00;0,11;10508,00;0,04;85,00;1,07;99,00;0,42;183,00;0,77;32,00;0,13;633,00;2,66;286,00;1,20;68,00;0,29;10,00;0,04;1,00;0,00;1,00;0,00;14,39;0,21
21007 Gurupi MA;243679,00;4464,00;66,00;5655,04;198,64;10,09;570,00;2,34;19066,00;0,08;13601,00;0,06;92,00;1,13;78,00;0,32;139,00;0,57;16,00;0,07;714,00;2,93;367,00;1,51;71,00;0,29;14,00;0,06;0,00;0,00;17,00;0,07;18,32;0,27
21008 Pindaré;669222,00;27126,00;389,00;6489,34;237,82;8,74;13114,00;19,60;91610,00;0,14;57810,00;0,09;274,00;1,23;266,00;0,40;482,00;0,72;95,00;0,14;1926,00;2,88;1189,00;1,78;28,00;0,04;40,00;0,06;7,00;0,01;46,00;0,07;40,53;0,58
21009 Imperatriz;602537,00;18488,00;643,00;13868,90;443,47;4,12;86554,00;143,65;126783,00;0,21;105160,00;0,17;186,00;0,93;724,00;1,20;799,00;1,33;114,00;0,19;1404,00;2,33;1589,00;2,64;7,00;0,01;63,00;0,10;28,00;0,05;194,00;0,32;30,68;1,07
21010 Médio Mearim;425027,00;16366,00;257,00;10628,15;290,63;7,77;22791,00;53,62;72771,00;0,17;46252,00;0,11;186,00;1,31;244,00;0,57;459,00;1,08;83,00;0,20;1239,00;2,92;881,00;2,07;39,00;0,09;36,00;0,08;7,00;0,02;19,00;0,04;38,51;0,60
21011 A.Mearim/Grajaú;338308,00;14650,00;164,00;5716,61;240,48;10,50;5219,00;15,43;52291,00;0,15;25021,00;0,07;117,00;1,04;152,00;0,45;268,00;0,79;53,00;0,16;961,00;2,84;618,00;1,83;125,00;0,37;24,00;0,07;4,00;0,01;42,00;0,12;43,30;0,48
21012 Pres. Dutra;200027,00;6936,00;36,00;6186,32;269,98;7,26;4011,00;20,05;41354,00;0,21;20292,00;0,10;88,00;1,32;114,00;0,57;212,00;1,06;50,00;0,25;576,00;2,88;439,00;2,19;5,00;0,02;19,00;0,09;4,00;0,02;11,00;0,05;34,68;0,18
21013 B.Parnaíba MA;147430,00;3183,00;55,00;4989,64;171,59;11,97;626,00;4,25;16830,00;0,11;5180,00;0,04;56,00;1,14;57,00;0,39;89,00;0,60;24,00;0,16;438,00;2,97;222,00;1,51;112,00;0,76;5,00;0,03;0,00;0,00;5,00;0,03;21,59;0,37
21014 Chapadinha;246702,00;8732,00;128,00;5324,75;192,54;10,05;1320,00;5,35;22965,00;0,09;10059,00;0,04;86,00;1,05;103,00;0,42;185,00;0,75;38,00;0,15;647,00;2,62;361,00;1,46;15,00;0,06;12,00;0,05;3,00;0,01;9,00;0,04;35,39;0,52
21015 Codó;279405,00;5558,00;166,00;5630,03;226,43;8,72;14100,00;50,46;48308,00;0,17;24736,00;0,09;96,00;1,03;225,00;0,81;366,00;1,31;63,00;0,23;640,00;2,29;325,00;1,16;9,00;0,03;21,00;0,08;2,00;0,01;77,00;0,28;19,89;0,59
21016 Coelho Neto;94357,00;3252,00;60,00;4904,66;197,49;12,40;938,00;9,94;13134,00;0,14;6215,00;0,07;32,00;1,02;38,00;0,40;67,00;0,71;13,00;0,14;243,00;2,58;191,00;2,02;41,00;0,43;9,00;0,10;1,00;0,01;6,00;0,06;34,46;0,64
21017 Caxias;447282,00;13832,00;313,00;6998,09;301,34;8,11;17092,00;38,21;83050,00;0,19;44096,00;0,10;158,00;1,06;516,00;1,15;554,00;1,24;151,00;0,34;1061,00;2,37;697,00;1,56;5,00;0,01;32,00;0,07;9,00;0,02;83,00;0,19;30,92;0,70
21018 Chap.Itapecuru;222247,00;7758,00;94,00;5595,25;247,10;7,71;1366,00;6,15;37727,00;0,17;18196,00;0,08;102,00;1,38;121,00;0,54;224,00;1,01;44,00;0,20;627,00;2,82;534,00;2,40;66,00;0,30;18,00;0,08;4,00;0,02;10,00;0,04;34,91;0,42
21019 Porto Franco;121257,00;5422,00;64,00;14448,34;396,86;5,71;2796,00;23,06;22200,00;0,18;13860,00;0,11;52,00;1,29;80,00;0,66;119,00;0,98;15,00;0,12;332,00;2,74;229,00;1,89;87,00;0,72;9,00;0,07;0,00;0,00;3,00;0,02;44,71;0,53
21020 Gerais Balsas;144398,00;10545,00;107,00;27703,70;446,66;3,84;867,00;6,00;21636,00;0,15;20818,00;0,14;47,00;0,98;117,00;0,81;183,00;1,27;42,00;0,29;300,00;2,08;419,00;2,90;593,00;4,11;17,00;0,12;2,00;0,01;43,00;0,30;73,03;0,74
21021 Chap.Mangab.;72567,00;3938,00;32,00;13760,92;245,90;5,17;294,00;4,05;9451,00;0,13;6281,00;0,09;33,00;1,36;28,00;0,39;50,00;0,69;7,00;0,10;217,00;2,99;214,00;2,95;2,00;0,03;6,00;0,08;0,00;0,00;8,00;0,11;54,27;0,44
22001 B.Parnaíba PI;345487,00;15643,00;261,00;5448,43;255,84;8,21;2310,00;6,69;53912,00;0,16;29935,00;0,09;157,00;1,36;233,00;0,67;368,00;1,07;121,00;0,35;862,00;2,50;412,00;1,19;3,00;0,01;22,00;0,06;4,00;0,01;45,00;0,13;45,28;0,76
22002 Litoral PI;321364,00;12121,00;238,00;7429,04;341,22;6,76;2857,00;8,89;55172,00;0,17;42710,00;0,13;125,00;1,17;377,00;1,17;365,00;1,14;180,00;0,56;706,00;2,20;768,00;2,39;40,00;0,12;25,00;0,08;7,00;0,02;91,00;0,28;37,72;0,74
22003 Teresina;1062514,00;59382,00;1348,00;15520,65;651,60;3,10;145694,00;137,12;236403,00;0,22;216208,00;0,20;348,00;0,98;2536,00;2,39;1993,00;1,88;603,00;0,57;1819,00;1,71;3644,00;3,43;9,00;0,01;111,00;0,10;45,00;0,04;370,00;0,35;55,89;1,27
22004 Campo Maior;228434,00;7548,00;149,00;5515,46;263,04;6,66;2101,00;9,20;40154,00;0,18;26047,00;0,11;104,00;1,37;151,00;0,66;228,00;1,00;83,00;0,36;599,00;2,62;412,00;1,80;27,00;0,12;8,00;0,04;1,00;0,00;5,00;0,02;33,04;0,65
