MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
43001 Santa Rosa;156774,00;6995,00;84,00;26946,35;793,78;0,88;18253,00;116,43;48822,00;0,31;44264,00;0,28;48,00;0,92;232,00;1,48;262,00;1,67;73,00;0,47;298,00;1,90;557,00;3,55;60,00;0,38;21,00;0,13;5,00;0,03;79,00;0,50;44,62;0,54
43002 Três Passos;140441,00;4693,00;84,00;28969,42;725,88;1,15;6833,00;48,65;39565,00;0,28;33340,00;0,24;53,00;1,13;171,00;1,22;194,00;1,38;63,00;0,45;337,00;2,40;496,00;3,53;8,00;0,06;21,00;0,15;3,00;0,02;36,00;0,26;33,42;0,60
43003 Fred.Westphalen;168859,00;5654,00;52,00;20176,97;668,99;1,18;19966,00;118,24;43479,00;0,26;34952,00;0,21;65,00;1,15;191,00;1,13;209,00;1,24;73,00;0,43;374,00;2,21;666,00;3,94;28,00;0,17;26,00;0,15;4,00;0,02;20,00;0,12;33,48;0,31
43004 Erechim;215135,00;10205,00;105,00;34512,32;889,89;0,90;70118,00;325,93;57664,00;0,27;58892,00;0,27;65,00;0,91;463,00;2,15;286,00;1,33;125,00;0,58;328,00;1,52;655,00;3,04;28,00;0,13;35,00;0,16;4,00;0,02;46,00;0,21;47,44;0,49
43005 Sananduva;60203,00;2897,00;35,00;23701,42;749,75;0,82;12178,00;202,28;14709,00;0,24;13346,00;0,22;21,00;1,05;75,00;1,25;60,00;1,00;25,00;0,42;117,00;1,94;214,00;3,55;15,00;0,25;10,00;0,17;3,00;0,05;14,00;0,23;48,12;0,58
43006 Cerro Largo;63845,00;1571,00;30,00;24449,79;659,91;1,35;9299,00;145,65;21193,00;0,33;15407,00;0,24;22,00;1,03;59,00;0,92;71,00;1,11;29,00;0,45;147,00;2,30;314,00;4,92;83,00;1,30;9,00;0,14;2,00;0,03;25,00;0,39;24,61;0,47
43007 Santo Ângelo;190107,00;6170,00;135,00;25274,14;736,77;1,31;27179,00;142,97;60232,00;0,32;50779,00;0,27;55,00;0,87;289,00;1,52;284,00;1,49;117,00;0,62;364,00;1,91;459,00;2,41;2,00;0,01;31,00;0,16;9,00;0,05;58,00;0,31;32,46;0,71
43008 Ijuí;192115,00;6785,00;105,00;33760,48;913,16;0,76;32416,00;168,73;55445,00;0,29;50791,00;0,26;59,00;0,92;410,00;2,13;302,00;1,57;136,00;0,71;340,00;1,77;736,00;3,83;2,00;0,01;27,00;0,14;6,00;0,03;62,00;0,32;35,32;0,55
43009 Carazinho;164574,00;7326,00;117,00;28675,41;794,87;1,46;26435,00;160,63;47851,00;0,29;42387,00;0,26;48,00;0,87;308,00;1,87;220,00;1,34;66,00;0,40;235,00;1,43;427,00;2,59;1,00;0,01;20,00;0,12;5,00;0,03;19,00;0,12;44,51;0,71
43010 Passo Fundo;361746,00;22983,00;348,00;35637,85;967,33;0,98;93025,00;257,16;95931,00;0,27;96415,00;0,27;68,00;0,56;1219,00;3,37;709,00;1,96;229,00;0,63;354,00;0,98;1516,00;4,19;868,00;2,40;49,00;0,14;19,00;0,05;202,00;0,56;63,53;0,96
43011 Cruz Alta;148274,00;6822,00;111,00;40506,92;818,44;1,29;27687,00;186,73;44041,00;0,30;40269,00;0,27;50,00;1,01;294,00;1,98;243,00;1,64;101,00;0,68;284,00;1,92;459,00;3,10;59,00;0,40;14,00;0,09;6,00;0,04;52,00;0,35;46,01;0,75
